Quintil,Sector,Por debajo del nivel básico,Básico,Satisfactorio,Avanzado
Q1,Estatal,71.10,24.10,4.80,0.00
Q1,Privado,59.80,30.60,9.60,0.00
Q2,Estatal,65.90,26.90,7.20,0.00
Q2,Privado,51.80,35.30,12.90,0.00
Q3,Estatal,60.30,30.30,9.40,0.00
Q3,Privado,44.90,37.70,17.30,0.00
Q4,Estatal,53.70,32.50,13.80,0.00
Q4,Privado,38.40,38.40,23.10,0.00
Q5,Estatal,48.80,37.40,13.80,0.00
Q5,Privado,29.60,37.40,33.00,0.00
