_id,N_DEPARTAMENTO,N_TURNO,N_NIVEL,CANT_BENEF
118,GENERAL SAN MARTIN,MA헤NA,SECUNDARIO,1101
119,CALAMUCHITA,TARDE,PRIMARIO,877
120,RIO SEGUNDO,MA헤NA,SECUNDARIO,1447
121,SAN JUSTO,TARDE,SECUNDARIO,572
122,ISCHILIN,TARDE,PRIMARIO,724
123,MINAS,TARDE,SECUNDARIO,104
124,RIO SECO,MA헤NA,SECUNDARIO,347
125,TOTORAL,MA헤NA,SECUNDARIO,316
126,RIO SEGUNDO,TARDE,SECUNDARIO,477
127,RIO PRIMERO,PIT,SECUNDARIO,64
128,CAPITAL,TARDE,PRIMARIO,17935
129,CAPITAL,MA헤NA,PRIMARIO,26181
130,MARCOS JUAREZ,TARDE,PRIMARIO,859
131,COLON,TARDE,SECUNDARIO,3231
132,UNION,TARDE,INICIAL,595
133,TERCERO ARRIBA,MA헤NA,INICIAL,476
134,CALAMUCHITA,TARDE,INICIAL,193
135,GENERAL SAN MARTIN,MA헤NA,INICIAL,477
136,PTE. ROQUE SAENZ PE헤,TARDE,PRIMARIO,584
137,SAN JAVIER,TARDE,PRIMARIO,1082
138,PUNILLA,PIT,SECUNDARIO,94
139,ISCHILIN,MA헤NA,PRIMARIO,1315
140,RIO PRIMERO,MA헤NA,SECUNDARIO,1445
141,GENERAL ROCA,TARDE,SECUNDARIO,135
142,RIO SECO,TARDE,SECUNDARIO,626
143,JUAREZ CELMAN,NOCHE,SECUNDARIO,1
144,MINAS,TARDE,PRIMARIO,76
145,RIO SEGUNDO,NOCHE,SECUNDARIO,22
146,RIO PRIMERO,TARDE,PRIMARIO,741
147,RIO PRIMERO,MA헤NA,PRIMARIO,1509
148,CRUZ DEL EJE,MA헤NA,PRIMARIO,2625
149,MARCOS JUAREZ,MA헤NA,SECUNDARIO,956
150,UNION,TARDE,SECUNDARIO,329
151,CALAMUCHITA,MA헤NA,INICIAL,292
152,JUAREZ CELMAN,TARDE,INICIAL,130
153,SANTA MARIA,TARDE,SECUNDARIO,1549
154,POCHO,TARDE,INICIAL,20
155,PUNILLA,MA헤NA,SECUNDARIO,2984
156,JUAREZ CELMAN,MA헤NA,PRIMARIO,959
157,PTE. ROQUE SAENZ PE헤,MA헤NA,SECUNDARIO,408
158,SAN JAVIER,MA헤NA,SECUNDARIO,1310
159,PTE. ROQUE SAENZ PE헤,TARDE,INICIAL,233
160,RIO SECO,PIT,SECUNDARIO,23
161,SAN JUSTO,PIT,SECUNDARIO,49
162,TERCERO ARRIBA,PIT,SECUNDARIO,24
163,PUNILLA,NOCHE,SECUNDARIO,61
164,SAN ALBERTO,TARDE,SECUNDARIO,1027
165,MINAS,MA헤NA,INICIAL,97
166,MINAS,TARDE,INICIAL,23
167,SAN JAVIER,PIT,SECUNDARIO,14
168,RIO CUARTO,TARDE,SECUNDARIO,1060
169,CAPITAL,MA헤NA,INICIAL,7029
170,SAN JUSTO,MA헤NA,PRIMARIO,3143
